id,document,embedding_length,embedding_first_10,metadata
98d66592-b956-4cbe-a9bf-ead6b6916dec,"Artificial Intelligence (AI) refers to the simulation of human intelligence in machines. These machines are designed to think, learn, and make decisions like humans. AI systems can be classified into three types: Narrow AI, General AI, and Super AI.",1024,"[ 0.0092214   0.03244405 -0.00984936 -0.0564006  -0.00190556 -0.02816584
 -0.00402613 -0.0091999  -0.01328491  0.04806637]","{'timestamp': '2026-01-08T13:28:18.968894', 'source': 'AI.pdf', 'chunk_index': 0}"
e30fec06-479d-4659-89b2-8f853e899620,"AI systems can be classified into three types: Narrow AI, General AI, and Super AI. Narrow AI is designed to perform a specific task such as facial recognition or voice assistants. General AI aims to perform any intellectual task that a human can do.",1024,"[ 0.01769759  0.03121935 -0.00947282 -0.06451198 -0.00842682 -0.0237503
 -0.00705654  0.00145987 -0.01499845  0.03004194]","{'timestamp': '2026-01-08T13:28:19.237000', 'chunk_index': 1, 'source': 'AI.pdf'}"
003e512e-8ce9-45c5-b15e-c40c18d29bec,General AI aims to perform any intellectual task that a human can do. Super AI refers to intelligence that surpasses human capabilities. Machine Learning is a subset of AI that enables systems to learn from data. Deep Learning is a further subset that uses neural networks with many layers.,1024,"[ 0.0276485   0.03154952 -0.00831515 -0.04542955 -0.00173108 -0.03855259
  0.01574006 -0.02330998 -0.01924531  0.05021841]","{'timestamp': '2026-01-08T13:28:19.531413', 'source': 'AI.pdf', 'chunk_index': 2}"
3b08ac82-929c-4e80-b638-7361f11d35eb,"Deep Learning is a further subset that uses neural networks with many layers. AI is widely used in healthcare, finance, transportation, and cybersecurity. ",1024,"[ 0.01966078  0.03480289 -0.00354869 -0.0257887  -0.00796636 -0.01650033
 -0.00259336 -0.04667608  0.02843774  0.04984086]","{'source': 'AI.pdf', 'chunk_index': 3, 'timestamp': '2026-01-08T13:28:19.709586'}"
76644a05-9043-4e5b-8a98-c52109977fc4,"Vector databases are specialized databases designed to store and search high-dimensional vectors. These vectors are usually embeddings generated by machine learning models. Vector databases enable semantic search, recommendation systems, and retrieval-augmented 
generation.",1024,"[-0.02580687  0.01400865  0.01128564 -0.03197058  0.03120739 -0.003194
 -0.00162202 -0.03204995 -0.01135886  0.01403662]","{'source': 'vectorDB.pdf', 'chunk_index': 0, 'timestamp': '2026-01-08T13:28:35.384155'}"
b7b13060-782f-4ba1-bc66-83bdc51ad066,"Vector databases enable semantic search, recommendation systems, and retrieval-augmented 
generation. Instead of keyword matching, vector search finds results based on meaning and similarity. Common vector databases include ChromaDB, FAISS, Pinecone, and Weaviate.",1024,"[-0.01445714  0.0127895  -0.00842033 -0.0056068   0.01555085  0.01618142
 -0.01847717 -0.03118697  0.02495728  0.01256896]","{'source': 'vectorDB.pdf', 'timestamp': '2026-01-08T13:28:35.671573', 'chunk_index': 1}"
9ed936e7-a34b-4f57-863c-1248d2ade072,"Common vector databases include ChromaDB, FAISS, Pinecone, and Weaviate. They use approximate nearest neighbor algorithms for fast similarity search. Vector databases are essential for modern AI applications such as chatbots and document search.",1024,"[ 0.00721595  0.02051756  0.00991842 -0.0156381   0.02146937  0.01617015
 -0.022143   -0.04454738  0.02503323  0.02356314]","{'chunk_index': 2, 'source': 'vectorDB.pdf', 'timestamp': '2026-01-08T13:28:35.925013'}"
b49de310-ba33-483e-a5c0-d97df4fd2dac,Vector databases are essential for modern AI applications such as chatbots and document search. They allow large-scale storage and efficient retrieval of embeddings. ,1024,"[ 0.01284577  0.03189201 -0.00486506 -0.00695766  0.02063939 -0.01332226
 -0.01584755 -0.03359999 -0.00434016  0.00086703]","{'source': 'vectorDB.pdf', 'chunk_index': 3, 'timestamp': '2026-01-08T13:28:36.107882'}"
aa989dd7-e843-482c-9090-65b619bd68a0,"What is a Vector Database? A vector database indexes and stores vector embeddings for fast retrieval and 
similarity search, with capabilities like CRUD operations, metadata filtering, 
horizontal scaling, and serverless. We’re in the midst of the AI revolution.",1024,"[-0.03021032  0.01030456 -0.01928104 -0.02004955  0.03897635 -0.00543599
 -0.01391227 -0.02548551 -0.00070445  0.04148552]","{'chunk_index': 0, 'timestamp': '2026-01-08T13:36:53.186494', 'source': 'vectorDB2.pdf'}"
d9b66345-400e-4b0b-8b31-3aee5170fa2b,"We’re in the midst of the AI revolution. It’s upending any industry it touches, 
promising great innovations - but it also introduces new challenges. Efficient 
data processing has become more crucial than ever for applications that 
involve large language models, generative AI, and semantic search.",1024,"[ 0.02979276 -0.00275533 -0.02745484 -0.00322096  0.02197127 -0.01889202
  0.01248333 -0.04388162  0.0291115   0.01561035]","{'source': 'vectorDB2.pdf', 'timestamp': '2026-01-08T13:36:53.500476', 'chunk_index': 1}"
c60387fb-cfb7-4fb3-81cd-4f0d1b5e0741,"Efficient 
data processing has become more crucial than ever for applications that 
involve large language models, generative AI, and semantic search. All of these new applications rely on vector embeddings, a type of vector data 
representation that carries within it semantic information that’s critical for 
the AI to gain understanding and maintain a long-term memory they can draw 
upon when executing complex tasks.",1024,"[ 0.01224842  0.01750236 -0.01631587 -0.01887586  0.02883854 -0.01153249
  0.00469049 -0.05603464 -0.01065722  0.00602264]","{'chunk_index': 2, 'timestamp': '2026-01-08T13:36:53.922811', 'source': 'vectorDB2.pdf'}"
0542e2ac-a474-4272-938f-6a2130848bc8,"All of these new applications rely on vector embeddings, a type of vector data 
representation that carries within it semantic information that’s critical for 
the AI to gain understanding and maintain a long-term memory they can draw 
upon when executing complex tasks. Embeddings are generated by AI models (such as Large Language Models) and 
have many attributes or features, making their representation challenging to 
manage.",1024,"[ 0.01733836  0.01515458 -0.00569485 -0.03358525  0.03921112 -0.02104979
  0.00980251 -0.05707382  0.00218392  0.00738308]","{'chunk_index': 3, 'source': 'vectorDB2.pdf', 'timestamp': '2026-01-08T13:36:54.350610'}"
f924cf1a-0d9a-4946-a0e5-e313eddb3514,"Embeddings are generated by AI models (such as Large Language Models) and 
have many attributes or features, making their representation challenging to 
manage. In the context of AI and machine learning, these features represent 
different dimensions of the data that are essential for understanding patterns, 
relationships, and underlying structures.",1024,"[ 0.00181855  0.00058187  0.00012081 -0.06011439  0.02858745 -0.00826425
  0.01548636 -0.04072667  0.00017075  0.00467318]","{'chunk_index': 4, 'source': 'vectorDB2.pdf', 'timestamp': '2026-01-08T13:36:54.685454'}"
d1dd2334-83bf-4836-8bab-c3b30756a115,"In the context of AI and machine learning, these features represent 
different dimensions of the data that are essential for understanding patterns, 
relationships, and underlying structures. That is why we need a specialized database designed specifically for handling 
this data type.",1024,"[ 0.01148325  0.02164539  0.02239046 -0.03666401  0.0243743   0.01514928
  0.02456585 -0.02359545  0.00364376  0.03330247]","{'timestamp': '2026-01-08T13:36:54.948351', 'chunk_index': 5, 'source': 'vectorDB2.pdf'}"
c9ca42e6-6b64-4e62-999f-a7178b0972da,"That is why we need a specialized database designed specifically for handling 
this data type. Vector databases like Pinecone fulfill this requirement by 
offering optimized storage and querying capabilities for embeddings.",1024,"[ 0.01067901  0.01167478  0.0252298  -0.01676714  0.03646992  0.0186305
  0.01602019 -0.00860396  0.03825619  0.00400547]","{'timestamp': '2026-01-08T13:36:55.178677', 'source': 'vectorDB2.pdf', 'chunk_index': 6}"
a9dd3356-b20a-44bc-8121-fa0152b94d3e,"Vector databases like Pinecone fulfill this requirement by 
offering optimized storage and querying capabilities for embeddings. Vector 
databases have the capabilities of a traditional database that are absent in 
standalone vector indexes and the specialization of dealing with vector 
embeddings, which traditional scalar-based databases lack.",1024,"[ 0.00485613  0.00904752  0.00525785 -0.03104043  0.02935885  0.03071004
 -0.0059972  -0.01423809  0.01707052  0.01029692]","{'chunk_index': 7, 'source': 'vectorDB2.pdf', 'timestamp': '2026-01-08T13:36:55.512557'}"
